time_left_game,score_diff,tau_catboost,tau_xgb,tau_lgbm,tau_mean_ensemble,tau_std_across_models,tau_sign_agree_ratio,tau_sign_disagree
176.25,-9.0,-0.001640781294554472,-0.0012783256825059652,-0.0016985853435471654,-0.0015392307735358675,0.00018599090822578513,0.0,0
176.25,-8.0,-0.001640781294554472,-0.0012820839183405042,-0.0016985853435471654,-0.001540483518814047,0.0001842337141850941,0.0,0
176.25,-7.0,-0.001640781294554472,-0.001267721876502037,-0.0017077472293749452,-0.0015387501334771514,0.00019358606383349918,0.0,0
176.25,-6.0,-0.0016531979199498892,-0.0013573914766311646,-0.0014901950489729643,-0.0015002614818513393,0.00012097207055181396,0.0,0
176.25,-5.0,-0.0016676574014127254,-0.001305025420151651,-0.0015355574432760477,-0.001502746754946808,0.00014985080226636972,0.0,0
176.25,-4.0,-0.0016676574014127254,-0.0013115392066538334,-0.0014646346680819988,-0.0014812770920495193,0.00014586013818316748,0.0,0
176.25,-3.0,-0.0017136847600340843,-0.0014132241485640407,-0.001446208101697266,-0.0015243723367651303,0.00013453966080440464,0.0,0
176.25,-2.0,-0.0018539052689448,-0.001314867869950831,-0.0014433596516028047,-0.0015373775968328118,0.00022988382558370696,0.0,0
176.25,-1.0,-0.0018335316563025117,-0.0013267825124785304,-0.0014426435809582472,-0.0015343192499130964,0.00021679790112809957,0.0,0
176.25,0.0,-0.0017652512760832906,-0.0012212907895445824,-0.0014634347753599286,-0.0014833256136626005,0.0002225158972824853,0.0,0
176.25,1.0,-0.0017609207425266504,-0.0012752435868605971,-0.0014744462678208947,-0.0015035368657360475,0.0001993410344932569,0.0,0
176.25,2.0,-0.001760129234753549,-0.0010848351521417499,-0.0014921706169843674,-0.0014457116679598887,0.00027763807371104825,0.0,0
176.25,3.0,-0.0017924064304679632,-0.0011145776370540261,-0.0016068661352619529,-0.0015046167342613141,0.00028601185674605693,0.0,0
176.25,4.0,-0.0016508565749973059,-0.0010401871986687183,-0.0017107219900935888,-0.0014672552545865376,0.00030297008682952166,0.0,0
176.25,5.0,-0.0015751926694065332,-0.0011340546188876033,-0.0017466516001150012,-0.0014852996294697125,0.0002580430640081126,0.0,0
176.25,6.0,-0.001490686321631074,-0.0011549802729859948,-0.0016844463534653187,-0.0014433709826941292,0.0002187275909566859,0.0,0
176.25,7.0,-0.001490686321631074,-0.0011244009947404265,-0.0017408467829227448,-0.0014519780330980818,0.00025314699437651493,0.0,0
176.25,8.0,-0.001490686321631074,-0.0011403086828067899,-0.00179088837467134,-0.0014739611263697345,0.00026586122066978317,0.0,0
176.25,9.0,-0.001490686321631074,-0.001120185013860464,-0.00179088837467134,-0.0014672532367209594,0.0002743143958454173,0.0,0
176.25,10.0,-0.001490686321631074,-0.0011108845937997103,-0.00179088837467134,-0.0014641530967007081,0.00027824365164226344,0.0,0
187.5,-10.0,-0.001640781294554472,-0.0012540591415017843,-0.0016985853435471654,-0.001531141926534474,0.00019734315179586914,0.0,0
187.5,-9.0,-0.001640781294554472,-0.0012546386569738388,-0.0016985853435471654,-0.0015313350983584921,0.00019707192853741763,0.0,0
187.5,-8.0,-0.001640781294554472,-0.0012583971256390214,-0.0016985853435471654,-0.0015325879212468863,0.00019531303304702577,0.0,0
187.5,-7.0,-0.001640781294554472,-0.001244034618139267,-0.0017077472293749452,-0.0015308543806895614,0.0002046465102701899,0.0,0
187.5,-6.0,-0.0016531979199498892,-0.0013337044510990381,-0.0014901950489729643,-0.0014923658066739638,0.00013044169400242846,0.0,0
