time_window,time_lo,time_hi,score_region,score_lo,score_hi,outer_fold,test_years,n,tau_mean,tau_median,tau_sd,share_three_pref,share_two_pref,share_near_zero_abs_0_001,mean_sign_agree_ratio
15_30,15.0,30.0,trailing,-10,-1,train2000_2018_test2019_2021,2019-2021,1310.0,0.001729719442461062,0.00032211576012332126,0.014394188679724343,0.5114503816793893,0.48854961832061067,0.05419847328244275,0.8715012722646309
15_30,15.0,30.0,trailing,-10,-1,train2000_2021_test2022_2024,2022-2024,1404.0,0.0038070358595533238,0.0025248421473802263,0.010994771617825295,0.594017094017094,0.405982905982906,0.07336182336182336,0.7962962962962963
30_300,30.0,300.0,all_score,-10,10,train2000_2009_test2010_2012,2010-2012,31782.0,0.0032644089120241167,0.0017615589344535166,0.011186921350543102,0.5811465609464477,0.4188534390535523,0.0925681203196778,0.8479432802634614
30_300,30.0,300.0,all_score,-10,10,train2000_2012_test2013_2015,2013-2015,35201.0,0.002038876033512494,0.000993217900799012,0.008189907635604645,0.5572000795431948,0.4427999204568052,0.11607624783386836,0.8623334564358967
30_300,30.0,300.0,all_score,-10,10,train2000_2015_test2016_2018,2016-2018,34683.0,0.000340214441533286,0.00011108469175251123,0.007063559002998732,0.5069054003402244,0.4930945996597757,0.1250180203557939,0.8259954444540551
30_300,30.0,300.0,all_score,-10,10,train2000_2018_test2019_2021,2019-2021,30289.0,-0.0003940474080216384,-0.0008113900278532475,0.005025292615435772,0.4357687609363135,0.5642312390636864,0.15041764336887978,0.871911695114838
30_300,30.0,300.0,all_score,-10,10,train2000_2021_test2022_2024,2022-2024,32347.0,1.825534162981463e-05,-0.00040577117999072906,0.004396803318946551,0.45756948094104555,0.5424305190589545,0.20759266701703405,0.872023165466143
30_300,30.0,300.0,leading,1,10,train2000_2009_test2010_2012,2010-2012,13849.0,-0.0025392468395588706,-0.002461828689821321,0.00598510794917866,0.3259441114881941,0.6740558885118059,0.12744602498375335,0.8425638433581245
30_300,30.0,300.0,leading,1,10,train2000_2012_test2013_2015,2013-2015,15287.0,-0.0024103972963450374,-0.0026110257131626846,0.0044803879732191335,0.2795839602276444,0.7204160397723556,0.1452868450317263,0.8597937245153834
30_300,30.0,300.0,leading,1,10,train2000_2015_test2016_2018,2016-2018,14957.0,-0.003733087483169622,-0.0033183482851754293,0.004708643558852384,0.20578993113592298,0.794210068864077,0.14367854516280001,0.8374228343473512
30_300,30.0,300.0,leading,1,10,train2000_2018_test2019_2021,2019-2021,13105.0,-0.0034538910029572006,-0.0032952480119355296,0.0027386912556831263,0.09278901182754674,0.9072109881724533,0.13773368943151468,0.9036754419432786
30_300,30.0,300.0,leading,1,10,train2000_2021_test2022_2024,2022-2024,14327.0,-0.0025213765558455984,-0.0021907255142264016,0.0025127489661758025,0.13910797794374258,0.8608920220562574,0.2313813080198227,0.8876014983364742
