time_left_game,score_diff_offense,tau_catboost,sign_catboost,tau_xgb,sign_xgb,tau_lgbm,sign_lgbm,positive_share,negative_share,neutral_share,agreement_ratio,is_unanimous,has_pos_neg_conflict,mean_tau,std_tau,majority_positive,majority_negative,majority_neutral,majority_sign
24.0,2.0,-0.0007726713665761054,-1,-7.663507858524099e-05,-1,-0.00397728243842721,-1,0.0,1.0,0.0,1.0,True,False,-0.0016088629611961853,0.0016986611872580684,False,True,False,-1
24.0,3.0,-0.003807741217315197,-1,-0.0030464669689536095,-1,-0.0038947046268731356,-1,0.0,1.0,0.0,1.0,True,False,-0.0035829709377139807,0.00038102321890947575,False,True,False,-1
24.0,4.0,0.0022642381954938173,1,0.00044266178156249225,1,-0.00020406839030329138,-1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.0008342771955843394,0.001045037901943265,True,False,False,1
24.0,5.0,0.0018222620710730553,1,-0.0014366302639245987,-1,0.00046786031452938914,1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.00028449737389261526,0.0013367401364952076,True,False,False,1
24.0,6.0,-0.0008614740218035877,-1,-0.0012890304205939174,-1,0.0005250707035884261,1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,False,True,-0.000541811246269693,0.0007743293613342389,False,True,False,-1
24.0,7.0,-0.0011199733708053827,-1,-0.002243996364995837,-1,0.00032278161961585283,1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,False,True,-0.001013729372061789,0.0010505722713593081,False,True,False,-1
24.0,8.0,-0.0008567115874029696,-1,-0.002243996364995837,-1,0.0002160405711038038,1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,False,True,-0.000961555793765001,0.0010070384509207814,False,True,False,-1
24.0,9.0,-0.0008567115874029696,-1,-0.002243996364995837,-1,0.0002160405711038038,1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,False,True,-0.000961555793765001,0.0010070384509207814,False,True,False,-1
24.0,10.0,-0.001182275009341538,-1,-0.002243996364995837,-1,0.0002160405711038038,1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,False,True,-0.0010700769344111905,0.001007434609211994,False,True,False,-1
25.0,-10.0,0.007003474980592728,1,0.008375457488000393,1,0.005709495395421982,1,1.0,0.0,0.0,1.0,True,False,0.0070294759546717005,0.001088529744734017,True,False,False,1
