window,time_lo,time_hi,score_diff,n_three_point,mean_resid_three_point,n_two_point,mean_resid_two_point,observed_resid_diff_3pa_minus_2pa,b_hat,same_sign_as_b_hat_300,abs_ratio_observed_to_b_hat_300
240_285,240.0,285.0,-2.0,865,-0.008129064146477077,2317,0.030704583732748664,-0.03883364787922574,0.0221689362078905,False,1.7517145394375684
240_285,240.0,285.0,-1.0,716,-0.024672503589497633,1760,0.01757867251367411,-0.04225117610317174,0.0214858762919902,False,1.9664627836902662
240_285,240.0,285.0,0.0,1436,0.001217300444015185,4137,-0.003037841946381375,0.0042551423903965605,0.0110215172171592,True,0.3860759191821437
240_285,240.0,285.0,1.0,659,0.030881630506367583,1665,0.02653012619779947,0.004351504308568115,-0.0141985481604933,False,0.30647530010680546
240_285,240.0,285.0,2.0,668,0.005019543545202733,1719,0.0011655587390643307,0.0038539848061384025,-0.0242698602378368,False,0.15879715698280067
240_285,240.0,285.0,3.0,647,-0.00040080084345613397,1596,0.022567450778361295,-0.02296825162181743,-0.0233750734478235,True,0.9825959123972742
240_285,240.0,285.0,4.0,563,-0.0015621291148639725,1462,0.024114755978698374,-0.025676885093562345,-0.016815872862935,True,1.5269433411427902
240_285,240.0,285.0,5.0,550,0.0022830526858030466,1425,-0.0031004235397899126,0.005383476225592959,-0.020019419491291,False,0.2689127038840921
240_285,240.0,285.0,6.0,557,0.016794697731853582,1304,0.00831281198665541,0.008481885745198172,-0.0120790787041187,False,0.702196413564723
240_285,240.0,285.0,7.0,502,0.01699406367946564,1237,0.01835180794716015,-0.00135774426769451,-0.0106712291017174,True,0.12723410347136097
