time_left_game,score_diff,cate_value,tau_mean_ensemble,tau_catboost,tau_xgb,tau_lgbm,tau_std_across_models,tau_sign_agree_ratio,tau_sign_disagree,n_in_cell,cell_count,cell_count_log1p,time_cell_width,cell_density,cell_density_log1p,shown_in_figure
75.0,5.0,-0.000977308533038,-0.000977308533038,0.0001458791521145,-0.0028208126313984,-0.0002569921198301,0.0013138890962693,0.3333333333333333,1,491,491,6.198478716492308,11.25,43.644444444444446,3.798729875044615,True
75.0,6.0,-0.0012625838668706,-0.0012625838668706,-0.0003930983366444,-0.0027352015022188,-0.0006594517617486,0.0010469600634599,0.0,0,483,483,6.182084906716632,11.25,42.93333333333333,3.782673333400297,True
75.0,7.0,-0.0020229498428913,-0.0020229498428913,-0.0004769886727444,-0.004308802075684,-0.0012830587802454,0.0016495004450184,0.0,0,436,436,6.07993319509559,11.25,38.75555555555555,3.682749593738399,True
75.0,8.0,-0.0022104799669856,-0.0022104799669856,-0.0007872256683185,-0.004308802075684,-0.0015354121569544,0.0015148514799221,0.0,0,388,388,5.963579343618446,11.25,34.48888888888889,3.5692196584446925,True
75.0,9.0,-0.0022104799669856,-0.0022104799669856,-0.0007872256683185,-0.004308802075684,-0.0015354121569544,0.0015148514799221,0.0,0,388,388,5.963579343618446,11.25,34.48888888888889,3.5692196584446925,True
75.0,10.0,-0.0023161209343622,-0.0023161209343622,-0.0011041485704481,-0.004308802075684,-0.0015354121569544,0.0014199954620811,0.0,0,361,361,5.891644211825771,11.25,32.08888888888889,3.4991975429136892,True
86.25,-10.0,0.002745707364132,0.002745707364132,0.003828054992482,0.0029837482143193,0.0014253188855946,0.0009952496452661,1.0,0,410,410,6.018593214496234,11.25,36.44444444444444,3.6228583530161425,True
86.25,-9.0,0.0015821778021442,0.0015821778021442,0.0020658280700445,0.0021054814569652,0.0005752238794229,0.0007122079516715,1.0,0,496,496,6.208590026096629,11.25,44.08888888888889,3.808635850055495,True
86.25,-8.0,-0.0003978637105319,-0.0003978637105319,-0.0003159862244501,-0.0005116073880344,-0.0003659975191112,8.297991936713282e-05,0.0,0,527,527,6.269096283706261,11.25,46.84444444444444,3.867955007594043,True
86.25,-7.0,0.0050120311789214,0.0050120311789214,0.0047933575697243,0.006410667207092,0.003832068759948,0.0010640037902259,1.0,0,499,499,6.214608098422191,11.25,44.355555555555554,3.8145326730395253,True
