time_left_game,score_diff,cell_count,cell_count_log1p,time_cell_width,cell_density,cell_density_log1p
15.0,1.0,58,4.07753744390572,1.0,58.0,4.07753744390572
15.0,2.0,57,4.060443010546419,1.0,57.0,4.060443010546419
15.0,3.0,47,3.8712010109078907,1.0,47.0,3.8712010109078907
15.0,4.0,31,3.4657359027997265,1.0,31.0,3.4657359027997265
15.0,5.0,15,2.772588722239781,1.0,15.0,2.772588722239781
15.0,6.0,13,2.639057329615259,1.0,13.0,2.639057329615259
15.0,7.0,9,2.302585092994046,1.0,9.0,2.302585092994046
15.0,8.0,17,2.8903717578961645,1.0,17.0,2.8903717578961645
15.0,9.0,17,2.8903717578961645,1.0,17.0,2.8903717578961645
15.0,10.0,22,3.1354942159291497,1.0,22.0,3.1354942159291497
16.0,-10.0,80,4.394449154672439,1.0,80.0,4.394449154672439
16.0,-9.0,97,4.584967478670572,1.0,97.0,4.584967478670572
16.0,-8.0,115,4.7535901911063645,1.0,115.0,4.7535901911063645
16.0,-7.0,118,4.77912349311153,1.0,118.0,4.77912349311153
16.0,-6.0,123,4.820281565605037,1.0,123.0,4.820281565605037
16.0,-5.0,115,4.7535901911063645,1.0,115.0,4.7535901911063645
16.0,-4.0,113,4.736198448394496,1.0,113.0,4.736198448394496
16.0,-3.0,95,4.564348191467836,1.0,95.0,4.564348191467836
16.0,-2.0,74,4.31748811353631,1.0,74.0,4.31748811353631
16.0,-1.0,70,4.2626798770413155,1.0,70.0,4.2626798770413155
16.0,0.0,41,3.7376696182833684,1.0,41.0,3.7376696182833684
16.0,1.0,70,4.2626798770413155,1.0,70.0,4.2626798770413155
16.0,2.0,67,4.219507705176107,1.0,67.0,4.219507705176107
16.0,3.0,53,3.9889840465642745,1.0,53.0,3.9889840465642745
16.0,4.0,28,3.367295829986474,1.0,28.0,3.367295829986474
16.0,5.0,14,2.70805020110221,1.0,14.0,2.70805020110221
16.0,6.0,16,2.833213344056216,1.0,16.0,2.833213344056216
16.0,7.0,8,2.1972245773362196,1.0,8.0,2.1972245773362196
16.0,8.0,21,3.091042453358316,1.0,21.0,3.091042453358316
16.0,9.0,26,3.295836866004329,1.0,26.0,3.295836866004329
16.0,10.0,20,3.044522437723423,1.0,20.0,3.044522437723423
17.0,-10.0,85,4.454347296253507,1.0,85.0,4.454347296253507
17.0,-9.0,77,4.356708826689592,1.0,77.0,4.356708826689592
17.0,-8.0,114,4.74493212836325,1.0,114.0,4.74493212836325
17.0,-7.0,144,4.976733742420574,1.0,144.0,4.976733742420574
17.0,-6.0,153,5.0369526024136295,1.0,153.0,5.0369526024136295
17.0,-5.0,133,4.897839799950911,1.0,133.0,4.897839799950911
17.0,-4.0,102,4.634728988229636,1.0,102.0,4.634728988229636
17.0,-3.0,93,4.543294782270004,1.0,93.0,4.543294782270004
17.0,-2.0,71,4.276666119016055,1.0,71.0,4.276666119016055
17.0,-1.0,85,4.454347296253507,1.0,85.0,4.454347296253507
17.0,0.0,39,3.6888794541139363,1.0,39.0,3.6888794541139363
17.0,1.0,50,3.9318256327243257,1.0,50.0,3.9318256327243257
17.0,2.0,56,4.04305126783455,1.0,56.0,4.04305126783455
17.0,3.0,73,4.304065093204169,1.0,73.0,4.304065093204169
17.0,4.0,31,3.4657359027997265,1.0,31.0,3.4657359027997265
17.0,5.0,15,2.772588722239781,1.0,15.0,2.772588722239781
17.0,6.0,11,2.4849066497880004,1.0,11.0,2.4849066497880004
17.0,7.0,13,2.639057329615259,1.0,13.0,2.639057329615259
17.0,8.0,14,2.70805020110221,1.0,14.0,2.70805020110221
17.0,9.0,22,3.1354942159291497,1.0,22.0,3.1354942159291497
17.0,10.0,30,3.4339872044851463,1.0,30.0,3.4339872044851463
18.0,-10.0,75,4.330733340286331,1.0,75.0,4.330733340286331
18.0,-9.0,98,4.59511985013459,1.0,98.0,4.59511985013459
18.0,-8.0,94,4.553876891600541,1.0,94.0,4.553876891600541
18.0,-7.0,108,4.6913478822291435,1.0,108.0,4.6913478822291435
18.0,-6.0,138,4.9344739331306915,1.0,138.0,4.9344739331306915
18.0,-5.0,105,4.663439094112067,1.0,105.0,4.663439094112067
18.0,-4.0,115,4.7535901911063645,1.0,115.0,4.7535901911063645
18.0,-3.0,94,4.553876891600541,1.0,94.0,4.553876891600541
18.0,-2.0,72,4.290459441148391,1.0,72.0,4.290459441148391
18.0,-1.0,73,4.304065093204169,1.0,73.0,4.304065093204169
18.0,0.0,62,4.143134726391533,1.0,62.0,4.143134726391533
18.0,1.0,57,4.060443010546419,1.0,57.0,4.060443010546419
18.0,2.0,49,3.912023005428146,1.0,49.0,3.912023005428146
18.0,3.0,53,3.9889840465642745,1.0,53.0,3.9889840465642745
18.0,4.0,30,3.4339872044851463,1.0,30.0,3.4339872044851463
18.0,5.0,28,3.367295829986474,1.0,28.0,3.367295829986474
18.0,6.0,16,2.833213344056216,1.0,16.0,2.833213344056216
18.0,7.0,20,3.044522437723423,1.0,20.0,3.044522437723423
18.0,8.0,16,2.833213344056216,1.0,16.0,2.833213344056216
18.0,9.0,22,3.1354942159291497,1.0,22.0,3.1354942159291497
18.0,10.0,33,3.5263605246161616,1.0,33.0,3.5263605246161616
