variant,season,time_bin,shot_type,n,n_games,fitted_next_state_wp,empirical_win_rate,wp_minus_empirical
none,2017,30-45s,2PA,5,5,0.3252759801952756,0.0,0.3252759801952756
none,2017,30-45s,3PA,5,4,0.4825642073648548,0.6,-0.1174357926351452
none,2017,45-60s,2PA,14,14,0.3247799524665657,0.42857142857142855,-0.10379147610486283
none,2017,45-60s,3PA,7,7,0.49838201947031296,0.5714285714285714,-0.07304655195825843
none,2018,0-15s,2PA,24,17,0.3646021627541756,0.125,0.23960216275417562
none,2018,0-15s,3PA,16,15,0.4673860739338108,0.4375,0.02988607393381082
none,2018,15-30s,2PA,14,14,0.33950959017810817,0.21428571428571427,0.1252238758923939
none,2018,15-30s,3PA,8,8,0.46723638587601735,0.5,-0.032763614123982654
none,2018,30-45s,2PA,13,13,0.36064263820912185,0.3076923076923077,0.05295033051681414
none,2018,30-45s,3PA,10,10,0.48061894625591794,0.5,-0.019381053744082055
none,2018,45-60s,2PA,12,12,0.3470572101810237,0.3333333333333333,0.013723876847690386
none,2018,45-60s,3PA,12,12,0.4877473837115362,0.5833333333333334,-0.09558594962179717
none,2019,0-15s,2PA,11,10,0.3119606024505502,0.0,0.3119606024505502
none,2019,0-15s,3PA,14,14,0.4816522086713889,0.5,-0.018347791328611085
none,2019,15-30s,2PA,9,9,0.3497075543383663,0.0,0.3497075543383663
none,2019,15-30s,3PA,9,9,0.4645788298427626,0.3333333333333333,0.1312454965094293
none,2019,30-45s,2PA,9,9,0.374911789737572,0.1111111111111111,0.2638006786264609
none,2019,30-45s,3PA,8,8,0.4683525120748574,0.375,0.0933525120748574
none,2019,45-60s,2PA,7,7,0.3467146942589551,0.7142857142857143,-0.3675710200267592
none,2019,45-60s,3PA,7,7,0.4658467423137206,0.42857142857142855,0.03727531374229204
none,2020,0-15s,2PA,6,6,0.34235194821161885,0.3333333333333333,0.009018614878285536
none,2020,0-15s,3PA,19,18,0.4945882003608412,0.42105263157894735,0.07353556878189388
none,2020,15-30s,2PA,13,13,0.39798047721821145,0.38461538461538464,0.013365092602826811
none,2020,15-30s,3PA,8,8,0.48797109443960685,0.375,0.11297109443960685
none,2020,30-45s,2PA,8,8,0.32974273704624374,0.375,-0.04525726295375626
none,2020,30-45s,3PA,5,5,0.4944272434263722,0.0,0.4944272434263722
none,2020,45-60s,2PA,13,13,0.34832117771999077,0.3076923076923077,0.04062887002768306
none,2020,45-60s,3PA,8,8,0.47467928063185927,0.125,0.34967928063185927
none,2021,0-15s,2PA,15,15,0.3880470129157398,0.13333333333333333,0.2547136795824064
none,2021,0-15s,3PA,18,17,0.4846854110620552,0.2777777777777778,0.20690763328427741
none,2021,15-30s,2PA,10,10,0.3170230426391373,0.3,0.017023042639137287
none,2021,15-30s,3PA,5,5,0.4503667883338044,0.4,0.05036678833380437
none,2021,30-45s,2PA,9,9,0.3630595145845905,0.3333333333333333,0.0297261812512572
none,2021,30-45s,3PA,5,5,0.4707769125613782,0.4,0.07077691256137819
none,2021,45-60s,2PA,12,12,0.339416457224395,0.08333333333333333,0.2560831238910617
none,2021,45-60s,3PA,4,4,0.47151749686667876,0.25,0.22151749686667876
none,2022,0-15s,2PA,21,21,0.40909638171653434,0.19047619047619047,0.21862019124034388
none,2022,0-15s,3PA,23,22,0.4800866759120491,0.34782608695652173,0.1322605889555274
none,2022,15-30s,2PA,14,14,0.34853833025981446,0.21428571428571427,0.13425261597410018
none,2022,15-30s,3PA,6,6,0.465524068258768,0.3333333333333333,0.1321907349254347
none,2022,30-45s,2PA,16,16,0.3508153050686716,0.25,0.10081530506867159
none,2022,30-45s,3PA,7,7,0.47556820751946444,0.42857142857142855,0.04699677894803589
none,2022,45-60s,2PA,15,15,0.351601722490245,0.4,-0.048398277509755006
none,2022,45-60s,3PA,4,4,0.48064247053536174,0.25,0.23064247053536174
none,2023,0-15s,2PA,19,19,0.38012002751853163,0.15789473684210525,0.22222529067642638
none,2023,0-15s,3PA,10,9,0.48353393694468083,0.4,0.08353393694468081
none,2023,15-30s,2PA,15,15,0.3371204733907734,0.2,0.13712047339077338
none,2023,15-30s,3PA,6,6,0.480127076541526,0.6666666666666666,-0.18653959012514065
none,2023,30-45s,2PA,9,9,0.3546841342673632,0.1111111111111111,0.24357302315625212
none,2023,30-45s,3PA,4,4,0.4588273570540208,0.5,-0.04117264294597922
none,2023,45-60s,2PA,10,10,0.33681573932972697,0.4,-0.06318426067027305
none,2023,45-60s,3PA,5,5,0.46109340434983215,0.4,0.061093404349832126
none,2024,0-15s,2PA,10,10,0.3798864184300896,0.4,-0.020113581569910444
none,2024,0-15s,3PA,15,15,0.4484013529541789,0.26666666666666666,0.18173468628751221
none,2024,15-30s,2PA,10,10,0.3499491402810029,0.2,0.14994914028100287
none,2024,15-30s,3PA,4,4,0.464730672667829,0.0,0.464730672667829
none,2024,30-45s,2PA,10,10,0.3356763906757673,0.3,0.03567639067576733
none,2024,30-45s,3PA,6,5,0.4644729000455307,0.3333333333333333,0.1311395667121974
none,2024,45-60s,2PA,7,7,0.3802535684086164,0.2857142857142857,0.0945392826943307
none,2024,45-60s,3PA,7,7,0.510308810954009,0.5714285714285714,-0.06111976047456236
surface,2000,0-15s,2PA,5,5,0.3540682047127844,0.2,0.15406820471278437
surface,2000,0-15s,3PA,24,22,0.46452260103206755,0.375,0.08952260103206755
surface,2000,15-30s,2PA,13,13,0.3493790982707494,0.15384615384615385,0.19553294442459557
surface,2000,15-30s,3PA,9,9,0.4612452751946414,0.3333333333333333,0.1279119418613081
surface,2000,30-45s,2PA,15,15,0.32223829368886764,0.26666666666666666,0.055571627022200976
surface,2000,30-45s,3PA,6,6,0.443294640554652,0.5,-0.05670535944534799
surface,2000,45-60s,2PA,17,16,0.3616509670088978,0.29411764705882354,0.06753331995007428
surface,2000,45-60s,3PA,3,3,0.47614235210170536,0.6666666666666666,-0.19052431456496127
surface,2001,0-15s,2PA,14,13,0.3107067178520702,0.0,0.3107067178520702
surface,2001,0-15s,3PA,24,23,0.489011772523533,0.5,-0.010988227476466994
surface,2001,15-30s,2PA,12,11,0.3370169946472937,0.08333333333333333,0.25368366131396036
surface,2001,15-30s,3PA,5,5,0.4824575250171678,0.6,-0.11754247498283216
surface,2001,30-45s,2PA,7,7,0.32163434192228885,0.0,0.32163434192228885
surface,2001,30-45s,3PA,6,6,0.4553046610242495,0.5,-0.04469533897575051
surface,2001,45-60s,2PA,13,13,0.33674366514430704,0.3076923076923077,0.029051357451999327
