window,outer_fold,train_years,test_years,time_bin_left,time_bin_right,time_bin_mid,score_diff_cell,cate_value,tau_mean_ensemble,tau_catboost,tau_xgb,tau_lgbm,tau_catboost_raw,tau_xgb_raw,tau_lgbm_raw,tau_std_across_models,tau_sign_agree_ratio,n,shown_in_figure
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,-6,-0.0032766632365887442,-0.0032766632365887442,-0.010512521925757285,0.0032205394696696987,-0.0025380072536786446,-0.0058415523,0.0055167917,-0.0030911018,0.01743893411832708,0.8545454545454545,55,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,-5,0.000525035723361882,0.000525035723361882,-0.0026041165897780377,0.007541934116387806,-0.0033627103565241215,-0.0005462275,0.011683966,-0.004152761,0.017358366558537064,0.9056603773584906,53,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,-4,-0.013286634831611431,-0.013286634831611431,-0.01748229523473305,-0.0024327330819773996,-0.019944876178123842,-0.0105083855,-0.0025511396,-0.025499355,0.014665575586373252,0.8181818181818182,44,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,-3,-0.008055922424588682,-0.008055922424588682,-0.006572909201577886,0.0021714598432922495,-0.019766317915480405,-0.0032036589,0.0040196236,-0.025269493,0.02005817738531067,0.868421052631579,38,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,-2,-0.0006360705167610088,-0.0006360705167610088,0.005124626710535018,0.0037268071242858155,-0.010759645385103858,0.0046287985,0.006239299,-0.0136750005,0.015670480254230353,0.8148148148148148,27,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,-1,0.012137633747767107,0.012137633747767107,0.026637642122599968,0.009170874144572273,0.0006043849761290791,0.019033523,0.014008668,0.0009541705,0.012159938382418838,0.7727272727272727,22,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,0,0.002164941794809217,0.002164941794809217,0.00476317701602854,-0.007980524749814736,0.009712173118213848,0.0043867785,-0.010468536,0.012678831,0.00940997223058126,0.6842105263157895,19,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,1,-0.0008691674765295628,-0.0008691674765295628,-0.013712351813179521,0.006944143931168015,0.004160705452422817,-0.0079841,0.010830845,0.0055323015,0.009123514239021243,0.76,25,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,2,-0.008842710684417474,-0.008842710684417474,-0.024614486097606126,0.003019443923344001,-0.004933089878990299,-0.01528397,0.0052298033,-0.0061743455,0.006296991607815215,0.6833333333333333,20,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,3,-0.010513309528274346,-0.010513309528274346,-0.023743139697486596,-0.0006159087697119799,-0.007180880117624465,-0.014700533,4.169742e-05,-0.009067977,0.010577486035602145,0.8555555555555556,30,True
